"","from","to","strength","direction"
"216","G8","G2",0.4468,0.282676812891674
"217","G8","G3",0.4726,0.300465509944985
"218","G8","G4",0.0888,0.540540540540541
"219","G8","G5",1,0.3803
"220","G8","G6",0.1036,0.324324324324324
"221","G8","G7",0.2248,0.258896797153025
"222","G8","G9",0.8648,0.329787234042553
"223","G8","G10",0.423,0.28936170212766
"224","G8","G11",0.8568,0.183706816059757
"225","G9","S1",0.0464,0.28448275862069
"226","G9","S2",0.047,0.108510638297872
"227","G9","S3",0.0734,0.223433242506812
"228","G9","S4",0.105,0.699047619047619
"229","G9","S5",0.0566,0.496466431095406
"230","G9","S6",0.1036,0.36003861003861
"231","G9","G1",0.3914,0.398313745528871
"232","G9","G2",0.7846,0.354193219474892
"233","G9","G3",0.9904,0.393275444264943
"234","G9","G4",0.3446,0.608531630876378
"235","G9","G5",0.8612,0.668369716674408
"236","G9","G6",0.2622,0.410755148741419
"237","G9","G7",0.1788,0.379753914988814
"238","G9","G8",0.8648,0.670212765957447
"239","G9","G10",0.844,0.311611374407583
"240","G9","G11",0.6388,0.296023794614903
"241","G10","S1",0.1576,0.324873096446701
"242","G10","S2",0.1108,0.166064981949458
"243","G10","S3",0.0568,0.170774647887324
"244","G10","S4",0.0934,0.493576017130621
"245","G10","S5",0.1374,0.439592430858806
"246","G10","S6",0.6758,0.668984906777153
"247","G10","G1",0.167,0.659880239520958
"248","G10","G2",0.515,0.520970873786408
"249","G10","G3",0.2336,0.663955479452055
"250","G10","G4",0.247,0.832793522267206
"251","G10","G5",0.2278,0.774363476733977
"252","G10","G6",0.8674,0.587848743370994
"253","G10","G7",0.886,0.60293453724605
"254","G10","G8",0.423,0.71063829787234
"255","G10","G9",0.844,0.688388625592417
"256","G10","G11",0.9998,0.541108221644329
"257","G11","S1",0.1244,0.110932475884244
"258","G11","S2",0.057,0.135087719298246
"259","G11","S3",0.03,0.233333333333333
"260","G11","S4",0.029,0.324137931034483
"261","G11","S5",0.0642,0.299065420560748
"262","G11","S6",0.0754,0.56763925729443
"263","G11","G1",0.7172,0.647936419408812
"264","G11","G2",0.8308,0.596413095811266
"265","G11","G3",0.271,0.615129151291513
"266","G11","G4",0.6656,0.861628605769231
"267","G11","G5",0.7204,0.790255413659078
"268","G11","G6",0.8194,0.599218940688308
"269","G11","G7",0.8706,0.665518033540087
"270","G11","G8",0.8568,0.816293183940243
"271","G11","G9",0.6388,0.703976205385097
"272","G11","G10",0.9998,0.458891778355671
